Name,URL
Pfalzgraf-Rudolf-Schule Grundschule,http://www.schulliste.eu/schule/116-pfalzgraf-rudolf-schule-grundschule/
Vogt-Hess-Schule Grund- und Werkrealschule,http://www.schulliste.eu/schule/117-vogt-hess-schule-grund-und-werkrealschule/
Grundschule AffstÃ¤tt,http://www.schulliste.eu/schule/118-grundschule-affstatt/
Grundschule Haslach,http://www.schulliste.eu/schule/119-grundschule-haslach/
Grundschule Kayh,http://www.schulliste.eu/schule/120-grundschule-kayh/
Grundschule MÃ¶nchberg,http://www.schulliste.eu/schule/121-grundschule-monchberg/
Grund- und Nachbarschaftshauptschule Kuppingen,http://www.schulliste.eu/schule/122-grund-und-nachbarschaftshauptschule-kuppingen/
Grundschule Oberjesingen,http://www.schulliste.eu/schule/123-grundschule-oberjesingen/
SchÃ¶nbuchschule Grundschule,http://www.schulliste.eu/schule/124-schonbuchschule-grundschule/
Berkenschule Grundschule Holzgerlingen und Werkrealschule Holzgerlingen/Altdorf,http://www.schulliste.eu/schule/125-berkenschule-grundschule-holzgerlingen-und-werkrealschule-holzgerlingen-altdorf/
Decker-Hauff-Schule Grundschule Oberjettingen,http://www.schulliste.eu/schule/126-decker-hauff-schule-grundschule-oberjettingen/
Grundschule HÃ¶fingen,http://www.schulliste.eu/schule/127-grund-und-hauptschule-mit-werkrealschule-hofingen/
Schellingschule Grundschule,http://www.schulliste.eu/schule/128-schellingschule-grund-und-werkrealschule/
Spitalschule Grundschule,http://www.schulliste.eu/schule/129-spitalschule-grundschule/
MÃ¶rikeschule Grundschule Eltingen,http://www.schulliste.eu/schule/130-morikeschule-grundschule-eltingen/
August-LÃ¤mmle-Schule Grund- und Werkrealschule,http://www.schulliste.eu/schule/131-august-lammle-schule-grund-und-werkrealschule/
Grundschule Warmbronn,http://www.schulliste.eu/schule/132-grundschule-warmbronn/
Grundschule Gebersheim,http://www.schulliste.eu/schule/133-grundschule-gebersheim/
Sophie-Scholl-Schule Grundschule Ezach,http://www.schulliste.eu/schule/134-sophie-scholl-schule-grundschule-ezach/
Johannes-Kepler-Schule Grund- und Hauptschule mit Werkrealschule,http://www.schulliste.eu/schule/135-johannes-kepler-schule-grund-und-hauptschule-mit-werkrealschule/
Grundschule,http://www.schulliste.eu/schule/136-grundschule/
Schule im Wiesengrund Grund- und Hauptschule mit Werkrealschule,http://www.schulliste.eu/schule/137-schule-im-wiesengrund-grund-und-hauptschule-mit-werkrealschule/
Friedrich-Schiller-Schule Grund- und Werkrealschule,http://www.schulliste.eu/schule/138-friedrich-schiller-schule-grund-und-werkrealschule/
Friedrich-Silcher-Schule Grund- und Hauptschule Malmsheim,http://www.schulliste.eu/schule/139-friedrich-silcher-schule-grund-und-hauptschule-malmsheim/
Theodor-Heuss-Schule Grund- und Hauptschule mit Werkrealschule,http://www.schulliste.eu/schule/140-theodor-heuss-schule-grund-und-hauptschule-mit-werkrealschule/
Theodor-Heuss-Schule Grund- und Hauptschule mit Werkrealschule Rutesheim AuÃenstelle Grundschule Hin,http://www.schulliste.eu/schule/141-theodor-heuss-schule-grund-und-hauptschule-mit-werkrealschule-rutesheim-au-enstelle-grundschule-hin/
Johann-Bruecker-Grundschule,http://www.schulliste.eu/schule/142-johann-brucker-schule-grund-und-forderschule/
Johann-BrÃ¼cker-Schule Haupt- und Realschule,http://www.schulliste.eu/schule/143-johann-brucker-schule-haupt-und-realschule/
Grundschule GartenstraÃe,http://www.schulliste.eu/schule/144-grundschule-gartenstra-e/
Goldbergschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/145-goldbergschule-grund-und-werkrealschule/
Grundschule Klostergarten,http://www.schulliste.eu/schule/146-grundschule-klostergarten/
Grundschule Sommerhofen,http://www.schulliste.eu/schule/147-grundschule-sommerhofen/
Eichholzschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/148-eichholzschule-grund-und-werkrealschule/
KÃ¶nigsknollschule Grundschule,http://www.schulliste.eu/schule/149-konigsknollschule-grundschule/
Grundschule Darmsheim,http://www.schulliste.eu/schule/150-grundschule-darmsheim/
Johannes-Widmann-Schule Grund- und Werkrealschule Maichingen,http://www.schulliste.eu/schule/151-johannes-widmann-schule-grund-und-werkrealschule-maichingen/
Grundschule Hinterweil,http://www.schulliste.eu/schule/152-grundschule-hinterweil/
Hauptschule mit Werkrealschule am Klostergarten,http://www.schulliste.eu/schule/153-hauptschule-mit-werkrealschule-am-klostergarten/
Grund- und Hauptschule,http://www.schulliste.eu/schule/154-grund-und-hauptschule/
"Oskarschwenk-Schule Grund-, Werkreal- und Realschule",http://www.schulliste.eu/schule/155-oskarschwenk-schule-grund-werkreal-und-realschule/
Grundschule MÃ¼nklingen,http://www.schulliste.eu/schule/156-grundschule-munklingen/
Heinrich-SteinhÃ¶wel Gemeinschaftsschule,http://www.schulliste.eu/schule/157-heinrich-steinhowel-grund-und-hauptschule-mit-werkrealschule/
WÃ¼rmtalschule Grund- und Werkrealschule Merklingen,http://www.schulliste.eu/schule/158-wurmtalschule-grund-und-werkrealschule-merklingen/
Schule am Schafberg Grundschule Schafhausen,http://www.schulliste.eu/schule/159-schule-am-schafberg-grundschule-schafhausen/
Grundschule Hausen,http://www.schulliste.eu/schule/160-grundschule-hausen/
Grundschule Breitenstein,http://www.schulliste.eu/schule/161-grundschule-breitenstein/
Grund- und Werkrealschule AuÃenstelle Grundschule Neuweiler,http://www.schulliste.eu/schule/162-grund-und-werkrealschule-au-enstelle-grundschule-neuweiler/
Grundschule Flacht,http://www.schulliste.eu/schule/163-grundschule-flacht/
Ferdinand-Porsche-Schule Grund- und Hauptschule mit Werkrealschule,http://www.schulliste.eu/schule/164-ferdinand-porsche-schule-grund-und-hauptschule-mit-werkrealschule/
Grundschule Aich,http://www.schulliste.eu/schule/165-grundschule-aich/
Grund- und Hauptschule mit Werkrealschule GrÃ¶tzingen,http://www.schulliste.eu/schule/166-grund-und-hauptschule-mit-werkrealschule-grotzingen/
Grundschule Neuenhaus,http://www.schulliste.eu/schule/167-grundschule-neuenhaus/
Grund- und Hauptschule Aichwald,http://www.schulliste.eu/schule/168-grund-und-hauptschule-aichwald/
Grund- und Hauptschule Aichwald AuÃenstelle Grundschule Aichelberg,http://www.schulliste.eu/schule/169-grund-und-hauptschule-aichwald-au-enstelle-grundschule-aichelberg/
Grund- und Hauptschule Aichwald AuÃenstelle Grundschule AichschieÃ,http://www.schulliste.eu/schule/170-grund-und-hauptschule-aichwald-au-enstelle-grundschule-aichschie/
Grundschule Altdorf,http://www.schulliste.eu/schule/171-grundschule-altdorf/
Grundschule Baltmannsweiler,http://www.schulliste.eu/schule/173-grundschule-baltmannsweiler/
Grundschule Hohengehren,http://www.schulliste.eu/schule/174-grundschule-hohengehren/
Grundschule auf Mauern,http://www.schulliste.eu/schule/175-grundschule-auf-mauern/
Grundschule Beuren,http://www.schulliste.eu/schule/176-grundschule-beuren/
"Albert-Schweitzer-Schule Grund-, Haupt- und Realschule",http://www.schulliste.eu/schule/177-albert-schweitzer-schule-grund-haupt-und-realschule/
Ludwig-Uhland-Schule Grundschule,http://www.schulliste.eu/schule/178-ludwig-uhland-schule-grundschule/
Teckschule Grund- und Werkrealschule,http://www.schulliste.eu/schule/179-teckschule-grund-und-werkrealschule/
Grundschule Erkenbrechtsweiler,http://www.schulliste.eu/schule/180-grundschule-erkenbrechtsweiler/
Schillerschule Berkheim Grund- und Werkrealschule,http://www.schulliste.eu/schule/181-schillerschule-berkheim-grund-und-werkrealschule/
Katharinenschule Esslingen Grund- und Werkrealschule,http://www.schulliste.eu/schule/182-katharinenschule-esslingen-grund-und-werkrealschule/
Hohenkreuzschule Grund- und Werkrealschule WÃ¤ldenbronn,http://www.schulliste.eu/schule/183-hohenkreuzschule-grund-und-werkrealschule-waldenbronn/
Hohenkreuzschule Grund- und Werkrealschule WÃ¤ldenbronn AuÃenstelle Grundschule Hainbachschule,http://www.schulliste.eu/schule/184-hohenkreuzschule-grund-und-werkrealschule-waldenbronn-au-enstelle-grundschule-hainbachschule/
Herderschule Grundschule,http://www.schulliste.eu/schule/185-herderschule-grundschule/
LerchenÃ¤cker-Schule Grund- und Werkrealschule,http://www.schulliste.eu/schule/186-lerchenacker-schule-grund-und-werkrealschule/
Pliensauschule Grundschule,http://www.schulliste.eu/schule/187-pliensauschule-grundschule/
