Name,Bundesland,Schultyp,Kategorien,email_encoded,,
Grundschule Dettingen Außenstelle Hemmendorf,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hohenbergschule Grund- und  Werkrealschule,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Kreuzerfeldschule Grundschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Baisingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grund- und Werkrealschule Ergenzingen,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Sophie-Scholl-Schule Grundschule Hailfingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Kiebingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Bad Niedernau,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Oberndorf,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Seebronn,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Wendelsheim,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Wurmlingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Schwalldorf-Frommenhausen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Hohenbergschule Grund- und Werkrealschule Außenstelle Werkrealschule Starzach,Baden-Württemberg,Öffentlich, Grundschulen  Hauptschulen ,0,,
Grundschule Starzach,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule im Aischbach,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Silcherschule Grundschule Innenstadt,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Silcherschule Grundschule Innenstadt Außenstelle Melanchthonschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Silcherschule Grundschule Innenstadt Außenstelle Pavillonschule,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Werkrealschule Innenstadt,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Mörike-Schule Werkrealschule,Baden-Württemberg,Öffentlich, Hauptschulen ,0,,
Grundschule Auf der Wanne,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Winkelwiese Waldhäuser-Ost,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Winkelwiese Waldhäuser-Ost Außenstelle Winkelwiese,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Uhlandschule Grundschule Bühl,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Hagelloch,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Uhlandschule Grundschule Hirschau,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Charlottenschule Grundschule Kilchberg,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Dorfackerschule Grundschule Lustnau,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Dorfackerschule Grundschule Lustnau Außenstelle Grundschule Köstlinsch,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Pfrondorf,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
Grundschule Unterjesingen,Baden-Württemberg,Öffentlich, Grundschulen ,0,,
